Name,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,lon,lat,magnitude
Bolton Valley Resort,Definition:Small Scale Wind,,,,Bolton Valley VT,0.1,1,2009,Northern Power Systems,In Service,"44.4144038°, -72.83469647°",-72.83469647,44.4144038,1.7620726953712902,-0.4712616675692555
Boondocks Truck Stop Wind Farm,Definition:Small Scale Wind,Boondocks Truck Stop,,Boondocks Truck Stop,IA,0.07,1,2006,,In Service,"42.4703°, -93.5624°",-93.5624,42.4703,0.7353910595017117,-1.1801892853015237
Boyce,Definition:Small Scale Wind,Boyce,,Boyce,Alliance OH,0.1,1,2010,Northern Power Systems,In Service,"40.8671157°, -81.0497214°",-81.0497214,40.8671157,0.8364807247966869,0.4850347014078956
Bravo Wind,Commercial Scale Wind,,Bravo Wind LLC,,Cassia County ID,29.9,0,,,Proposed,"42.460351°, -113.474564°",-113.474564,42.460351,1.4038874049208856,-1.1836762955472022
Brazoria Offshore,Offshore Wind,Coastal Point Energy LLC,Coastal Point Energy LLC,,Gulf of Mexico TX,500,0,,,Proposed,"28.764°, -95.33°",-95.33,28.764,1.3905754061395792,-0.02876903847082173
Brazos Wind Ranch Wind Farm,Commercial Scale Wind,Shell Wind Energy/Mitsui,Cielo Wind Power/Orion Energy,Green Mountain Power/ TXU,Near Fluvanna TX,160,160,2003,Mitsubishi,In Service,"32.94914°, -101.144357°",-101.144357,32.94914,10.08478081260265,-2.6477855900635
Breezy Bucks I,Commercial Scale Wind,Dave Norgaard / John Deere Wind Energy,Dave Norgaard / John Deere Wind Energy,Xcel Energy,Lake Benton MN,1.25,1.25,2006,Suzlon Energy Company,In Service,"44.3197°, -96.3317°",-96.3317,44.3197,2.1134094626126436,-1.6276071687965754
Breezy Bucks II,Commercial Scale Wind,Breezy Bucks II LLC / John Deere Wind Energy,Breezy Bucks II LLC / John Deere Wind Energy,Xcel Energy,Lake Benton MN,1.25,1.25,2006,Suzlon Energy Company,In Service,"44.3144°, -96.3317°",-96.3317,44.3144,2.1134094626126436,-1.6276071687965754
Brigantine OffshoreMW Phase 1,Offshore Wind,OffshoreMW,Offshore MW,,Atlantic Ocean NJ,350,0,,,Proposed,"39.584°, -73.77°",-73.77,39.584,5.5133020666074595,0.7430614832421882
Brigantine OffshoreMW Phase 2,Offshore Wind,OffshoreMW,OffshoreMW,,Atlantic Ocean NJ,350,0,,,Proposed,"39.348°, -73.969°",-73.969,39.348,5.861637992456128,0.8699419247392766
Broken Bow Wind Farm,Commercial Scale Wind,Midwest Wind Energy,Midwest Wind Energy,Nebraska Public Power District,"Custer County, Nebraska",80,50,2012,GE Energy,In Service,"41.400029°, -99.573412°",-99.573412,41.400029,2.254284829768045,-1.423880489236205
Brookfield Tehachapi 1 (CCDLP),Commercial Scale Wind,Brookfield Renewable Energy Group,Coram Energy Group,Pacific Gas & Electric,Tehachapi CA,102,34,2012,Vestas,In Service,"35.05796406°, -118.3224106°",-118.3224106,35.05796406,2.8010354659263803,-0.760150997319855
Brookfield Tehachapi 2,Commercial Scale Wind,Brookfield Renewable Energy Group,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,150,50,2012,Vestas,In Service,"35.01917213°, -118.3031845°",-118.3031845,35.01917213,3.778094698876727,-0.7517030430230941
Brown County Wind,Commercial Scale Wind,Adams Electric Cooperative,Adams Electric Cooperative,Adams Electric Cooperative,Mt. Sterling IL,1.5,1,2011,VENSYS,In Service,"39.97340387°, -90.69939137°",-90.69939137,39.97340387,2.5312644774788224,-3.109982632963585
Buena Vista Wind Farm Repower,Commercial Scale Wind,Babcock & Brown,Babcock & Brown,Pacific Gas & Electric Co,Altamont Pass CA,38,38,2006,Mitsubishi,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
Buffalo Bear Wind Farm,Commercial Scale Wind,Edison Mission Group,Edison Mission Group,Western Farmers Electric Coop,OK,18.9,9,2008,Suzlon Energy Company,In Service,"36.573681°, -99.573275°",-99.573275,36.573681,6.656275222730532,-1.7734953191346585
Buffalo Gap 3 Wind Farm,Commercial Scale Wind,AES Wind Generation,AES Wind Generation,Direct Energy,TX,170.2,74,2008,Siemens,In Service,"32.310556°, -100.149167°",-100.149167,32.310556,7.635843170089186,-2.5434196530097637
Buffalo Gap II Wind Farm,Commercial Scale Wind,,AES Corp.,Direct Energy,Taylor County TX,232.5,155,2007,GE Energy,In Service,"32.310556°, -100.149167°",-100.149167,32.310556,7.635843170089186,-2.5434196530097637
Buffalo Gap Wind Farm,Commercial Scale Wind,AES,AES,Direct Energy,TX,120.6,67,2005,Vestas,In Service,"32.310556°, -100.149167°",-100.149167,32.310556,7.635843170089186,-2.5434196530097637
Buffalo Mountain Wind Energy Center I,Commercial Scale Wind,Tennessee Valley Authority,EnXco,Tennessee Valley Authority,Anderson County TN,1.98,3,2000,Vestas,In Service,"36.115822°, -84.333742°",-84.333742,36.115822,0.6795586769181008,-2.1465546559344557
Buffalo Mountain Wind Energy Center II,Commercial Scale Wind,Invenergy,Invenergy,Tennessee Valley Authority,Anderson County TN,27,15,2004,Vestas,In Service,"36.115822°, -84.333742°",-84.333742,36.115822,0.6795586769181008,-2.1465546559344557
Buffalo Ridge II Wind Power Project,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,,Brookings and Deuel counties SD,210,105,2010,Gamesa,In Service,"44.55761°, -96.742888°",-96.742888,44.55761,2.898620274048001,-1.7722514045473488
Buffalo Ridge Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Kenetech Windpower,Xcel Energy,Buffalo Ridge MN,25.99,73,1994,Kenetech,In Service,"44.0039°, -96.0526°",-96.0526,44.0039,2.0616983620176534,-2.0279364417754797
Buffalo Ridge Wind Farm I,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,NIPSCO,Brookings County SD,50.4,24,2009,Suzlon Energy Company,In Service,"44.422784°, -96.834898°",-96.834898,44.422784,2.702091894786708,-1.8023108045707603
Bull Creek Wind Farm,Commercial Scale Wind,Eurus,Eurus,Market,Near Gail TX,180,180,2008,Mitsubishi,In Service,"32.933099°, -101.584425°",-101.584425,32.933099,12.512905617586547,-2.4603615442263735
Bull Hill,Commercial Scale Wind,First Wind,First Wind,NSTAR,Hancock County ME,34.2,19,2012,Vestas,In Service,"44.723076°, -68.170852°",-68.170852,44.723076,4.1305205139760846,-0.2097406170043449
Bulldog,Community Wind,Bulldog LLC,,Farmers' Cooperative of Greenfield,Greenfield IA,1.5,1,2010,GE Energy,In Service,"41.22708706°, -94.43487167°",-94.43487167,41.22708706,0.8792042067650148,-2.550435489458077
Burco Farm and Feed,Definition:Small Scale Wind,Burco Farm and Feed,,Burco Farm and Feed,Independence IA,0.1,1,2010,Northern Power Systems,In Service,"42.5638438°, -91.88753486°",-91.88753486,42.5638438,4.013103553799031,-2.6054466478619696
Bureau Valley School District Wind Farm,Community Wind,Bureau Valley School District,Engineers Architects Professional Corp.,Bureau Valley School District,Bureau Valley IL,0.66,1,2004,Vestas,In Service,"41.4661°, -89.678°",-89.678,41.4661,1.4420124834190937,0.31736460872190225
Burley Butte,Commercial Scale Wind,Exergy,Exergy,Idaho Power,Cassia County ID,19.5,13,2011,GE Energy,In Service,"42.4644°, -113.895°",-113.895,42.4644,1.2478781712325626,-0.3775302114997977
Burlington High School Wind Project,Community Wind,,,,CO,0,1,2009,SkyStream,In Service,"39.296638888889°, -102.27135°",-102.27135,39.296638888889,4.671841351585039,-1.7996808236634918
Busch Ranch,Commercial Scale Wind,Black Hills Colorado Electric (50%) - Altagas (50%),EUI and Black Hills Colorado Electric,Black Hills Energy,Pueblo CO,28.8,16,2012,Vestas,In Service,"37.781886°, -104.471858°",-104.471858,37.781886,3.4078731856996667,-2.0265700901621346
Butler Ridge Wind Farm,Commercial Scale Wind,Babcock & Brown,Midwest Wind Energy/Eurus,WPPI,Dodge County WI,54,36,2009,GE Energy,In Service,"43.388524°, -88.467332°",-88.467332,43.388524,3.6347351110588852,-2.130562161378103
Byers Auto,Definition:Small Scale Wind,Byers Auto,,Byers Auto,Columbus OH,0.1,1,2010,Northern Power Systems,In Service,"40.11068966°, -83.08229864°",-83.08229864,40.11068966,0.2199999988079071,1.5707963267948966
CAES Wind Project,Community Wind,,,,ID,0,1,,SkyStream,,"43.522243°, -112.053963°",-112.053963,43.522243,2.1219095443587883,-2.540518880558673
CCRTA,Definition:Small Scale Wind,CCRTA,,CCRTA,Dennis MA,0.1,1,2010,Northern Power Systems,In Service,"41.6900954°, -70.14441133°",-70.14441133,41.6900954,3.7833847170580936,0.11124098910458505
CUSD3 Fulton County,Community Wind,CUSD3 Fulton County,,,IL,0.0021,1,2013,Skystream,In Service,"40.479509572053°, -90.188038945198°",-90.188038945198,40.479509572053,2.0035967208862893,2.6868733704541063
CWES I Wind Farm,Commercial Scale Wind,SeaWest,SeaWest,Pacific Gas & Electric Co,Altamont Pass CA,1.08,18,,Enertech,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
CWES II Wind Farm,Commercial Scale Wind,SeaWest,SeaWest,Pacific Gas & Electric Co,Altamont Pass CA,0.24,6,,Enertech,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
Cabazon Wind Farm I,Commercial Scale Wind,NextEra Energy Resources,GE Energy,Southern California Edison Co,San Gorgonio CA,39.75,53,1999,Zond,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Cabazon Wind Farm II,Commercial Scale Wind,Goldman Sachs/Shell,Canon Power Corp.,L.A. Department of Water Resources,San Gorgonio CA,40.92,62,2002,Vestas,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
California Ridge,Commercial Scale Wind,Ivenergy,Ivenergy,Tennessee Valley Authority,Fithian IL,214.4,134,2012,GE Energy,In Service,"40.19729811°, -87.82702446°",-87.82702446,40.19729811,1.633707455691856,-1.993371164128231
Callahan Divide Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Austin Energy,Taylor County TX,114,76,2005,GE Energy,In Service,"32.310556°, -100.149167°",-100.149167,32.310556,7.635843170089186,-2.5434196530097637
Calverton Wind Farm,Definition:Small Scale Wind,Long Island Power Authority,Long Island Power Authority,Long Island Power Authority,Calverton NY,0.05,1,2002,Atlantic Orient Co.,In Service,"40.927997°, -72.7749°",-72.7749,40.927997,3.2068989018330343,0.4483070927455756
Calwind II CEC Wind Farm,Commercial Scale Wind,,CalWind Resources,Southern California Edison Co,Tehachapi CA,8.58,13,2003,Vestas,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Calwind Resources Wind Farm,Commercial Scale Wind,,CalWind Resources,Southern California Edison Co,Tehachapi CA,14.11,217,,Bonus,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Camelot,Commercial Scale Wind,Camelot Wind LLC,Atlantic Design,Net-metered,Plymouth MA,1.5,1,2012,Goldwind,In Service,"41.925433°, -70.644414°",-70.644414,41.925433,2.4250774048465953,0.11156796819055306
Cameron Ridge Wind Farm,Commercial Scale Wind,Caithness,NextEra Energy Resources/M&N Wind Power/RES Americas,Southern California Edison Co,Tehachapi CA,56,80,1999,NEG Micon,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Camp Grove Wind Farm,Commercial Scale Wind,OEG (Orion Energy Group),OEG (Orion Energy Group),AEP-Appalachian Power,Marshall & Stark Counties IL,150,100,2007,GE Energy,In Service,"41.088871°, -89.656684°",-89.656684,41.088871,1.449999947383486,1.737078792910606
Camp Reed,Commercial Scale Wind,Exergy,Exergy,Idaho Power,Elmore County ID,22.5,15,2011,GE Energy,In Service,"42.443817°, -114.320844°",-114.320844,42.443817,1.7652762343830715,0.29308455929557714
Camp Springs II (1Q08) Wind Farm,Commercial Scale Wind,Invenergy,Invenergy,,TX,88.5,59,2008,GE Energy,In Service,"32.749117°, -100.731082°",-100.731082,32.749117,10.398893748098152,-2.6628924011127966
Camp Springs II (4Q07) Wind Farm,Commercial Scale Wind,Invenergy,Invenergy,,TX,31.5,21,2007,GE Energy,In Service,"32.730924°, -100.735803°",-100.735803,32.730924,10.398893748098152,-2.6628924011127966
Camp Springs Wind Farm,Commercial Scale Wind,Invenergy,Invenergy,,TX,130.5,87,2007,GE Energy,In Service,"32.739516°, -100.741382°",-100.741382,32.739516,10.398893748098152,-2.6628924011127966
Camp William Utah National Guard Wind Farm I,Community Wind,Camp William Utah National Guard,,Camp William Utah National Guard,Riverton UT,0.23,1,2000,NEG Micon,In Service,"40.439852°, -111.919141°",-111.919141,40.439852,1.5357408342157797,-2.397645404424788
Camp William Utah National Guard Wind Farm II,Community Wind,Camp William Utah National Guard,,Camp William Utah National Guard,Riverton UT,0.66,1,2005,Vestas,In Service,"40.439852°, -111.919141°",-111.919141,40.439852,1.5357408342157797,-2.397645404424788
Campbell Hill Wind Farm,Commercial Scale Wind,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,PacifiCorp,Northeast of Casper WY,99,66,2009,GE Energy,In Service,"42.998955°, -106.021366°",-106.021366,42.998955,5.690351387447049,2.9631538010095686
Canadian Hills (Mitsubishi),Commercial Scale Wind,Atlantic Power Corp,Apex Wind Energy,Oklahoma Municipal Power Authority / SWEPCO,Calumet OK,148.8,62,2012,Mitsubishi,In Service,"35.69756036°, -98.20438385°",-98.20438385,35.69756036,5.47170924489775,-1.3196120757000476
Canadian Hills (Repower),Commercial Scale Wind,Atlantic Power Corp,Apex Wind Energy,Oklahoma Municipal Power Authority / SWEPCO,Calumet OK,149.65,73,2012,REpower,In Service,"35.66212553°, -98.12820911°",-98.12820911,35.66212553,5.540830446723415,-1.26274356627303
Caney River,Commercial Scale Wind,Enel Green Power North America Inc.,Tradewind Energy LLC,Tennessee Valley Authority,Elk County KS,199.8,111,2012,Vestas,In Service,"37.448424°, -96.425027°",-96.425027,37.448424,5.582902281531702,-1.933340580581829
Cannon (Various),Commercial Scale Wind,,NA,Southern California Edison Co,Tehachapi CA,4.54,42,,Micon Vestas,In Service,"35.1317°, -118.451°",-118.451,35.1317,2.2365151359358064,-0.9058316084661567
Cannon I Wind Farm,Commercial Scale Wind,,NA,Southern California Edison Co,Tehachapi CA,0.86,8,,Micon,In Service,"35.1317°, -118.451°",-118.451,35.1317,2.2365151359358064,-0.9058316084661567
Cannon II Wind Farm,Commercial Scale Wind,,,Southern California Edison Co,Tehachapi CA,12.6,28,,Vestas,In Service,"35.1317°, -118.451°",-118.451,35.1317,2.2365151359358064,-0.9058316084661567
Canova Wind Farm,Community Wind,City of Howard,City of Howard,City of Howard,Near Carthage SD,0.11,1,2002,Micon,In Service,"44.169°, -97.7158°",-97.7158,44.169,2.436554987348967,-2.29812031777837
Cape Cod Regional Transit Authority,Definition:Small Scale Wind,Sustainable Energy Development,,Cape Cod Regional Transit Authority,Hyannis MA,0.1,1,2010,Northern Power Systems,In Service,"41.69005134°, -70.14437914°",-70.14437914,41.69005134,3.7833847170580936,0.11124098910458505
Cape Wind Project,Offshore wind,Cape Wind,Cape Wind Associates,National Grid,"Nantucket Sound, MA",468,130,,Siemens,Proposed,"41.501805°, -70.318333°",-70.318333,41.501805,4.539923116971944,0.06612860293078816
Capricorn Ridge (GE Energy) Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,TX,214.5,143,2007,GE Energy,In Service,"31.838061°, -100.923965°",-100.923965,31.838061,3.15686555494347,2.3113815059952234
Capricorn Ridge (Siemens) Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,TX,149.5,65,2007,Siemens,In Service,"31.844192°, -100.932612°",-100.932612,31.844192,3.15686555494347,2.3113815059952234
Capricorn Ridge Expansion (1Q08) Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,TX,142.5,95,2008,GE Energy,In Service,"31.838061°, -100.923965°",-100.923965,31.838061,3.15686555494347,2.3113815059952234
Capricorn Ridge Expansion (2Q08) Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,TX,156,104,2008,GE Energy,In Service,"31.838061°, -100.923965°",-100.923965,31.838061,3.15686555494347,2.3113815059952234
Caprock Wind Ranch,Commercial Scale Wind,Babcock & Brown,Cielo Wind Power,Xcel Energy,Quay County NM,60,60,2004,Mitsubishi,In Service,"35.043532°, -103.583422°",-103.583422,35.043532,8.329015501125392,-2.085474850969445
Caprock Wind Ranch phase II,Commercial Scale Wind,Babcock & Brown,Cielo Wind Power,Xcel Energy,Quay County NM,20,20,2005,Mitsubishi,In Service,"35.043532°, -103.583422°",-103.583422,35.043532,8.329015501125392,-2.085474850969445
Carleton College II,Commercial Scale Wind,Carleton College,Carleton College,Xcel Energy,Northfield MN,1.6,1,2011,GE Energy,In Service,"44.46881856°, -93.12780976°",-93.12780976,44.46881856,2.620018969459025,3.1377758781493417
Carleton College Wind Farm,Community Wind,Carleton College,Carleton College,Carleton College,Northfield MN,1.65,1,2004,NEG Micon,In Service,"44.4473°, -93.1592°",-93.1592,44.4473,2.620018969459025,3.1377758781493417
Carroll Wind Farm,Commercial Scale Wind,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,Carroll County IA,150,100,2008,GE Energy,In Service,"42.112208°, -94.910631°",-94.910631,42.112208,2.8290810706758367,0.596825930795392
Carsten Farms,Commercial Scale Wind,,,,Shelby IA,0.2,2,2009,Northern Power Systems,In Service,"41.4013022°, -94.60524023°",-94.60524023,41.4013022,0.34234485881979293,1.4536875860423226
Case Western University,Definition:Small Scale Wind,Case Western University,,Case Western University,Cleveland OH,0.1,1,2010,Northern Power Systems,In Service,"41.50239055°, -81.60550386°",-81.60550386,41.50239055,2.82179021781893,0.7678561201079459
Case Western University (Nordex),Community Wind,Case Western University,Case Western University,Stamco Inc - excess to First Energy,Euclid OH,1,1,2012,Nordex (refurb),In Service,"41.60213398°, -81.49688244°",-81.49688244,41.60213398,3.3047994414576785,0.6846649928786307
Case Western University (Vestas),Community Wind,Case Western University,Case Western University,Sopko & Sons - excess to First Energy,Euclid OH,0.225,1,2012,Vestas (refurb),In Service,"41.60216607°, -81.49763346°",-81.49763346,41.60216607,3.3047994414576785,0.6846649928786307
Cashton Greens,Community Wind,Organic Valley Coooperative & Gundersen Lutheran,Organic Valley Coooperative & Gundersen Lutheran,Organic Valley Coooperative & Gundersen Lutheran,Cashton WI,4.99,2.5,2012,Clipper,In Service,"43.73141401°, -90.80382586°",-90.80382586,43.73141401,2.3352087866704743,-2.8550578770136097
